timestamp,grid_id,event_count_30d,event_count_lag1,max_mag_30d,mean_depth_30d,cum_energy_30d,recent_m45_30d,target_m5_14d,m5_count_next_14d,log_cum_energy_30d,log_event_count_30d,log_event_count_lag1,mean_depth_imputed
2001-05-26 23:18:53.720,South (30–35N) | East (138–146E),10,15,4.7,158.85000000000002,2720672525020.723,1,0,0,12.434676270873876,2.3978952727983707,2.772588722239781,158.85000000000002
2001-05-26 23:18:53.720,South (30–35N) | West (130–138E),7,7,5.1,85.54285714285713,4089013210080.6685,1,0,0,12.611618513600632,2.0794415416798357,2.0794415416798357,85.54285714285713
2001-06-25 23:18:53.720,Central (35–40N) | East (138–146E),9,8,4.7,54.166666666666664,3546153489537.4126,1,0,0,12.549757529408417,2.302585092994046,2.1972245773362196,54.166666666666664
2001-06-25 23:18:53.720,Central (35–40N) | West (130–138E),3,1,4.3,294.8,272576448069.17017,0,0,0,11.435488327965839,1.3862943611198906,0.6931471805599453,294.8
2001-06-25 23:18:53.720,North (40–45N) | East (138–146E),5,6,4.8,79.5,2220274491398.8174,1,1,1,12.346406669374524,1.791759469228055,1.9459101490553132,79.5
2001-06-25 23:18:53.720,North (40–45N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2001-06-25 23:18:53.720,South (30–35N) | East (138–146E),8,10,4.7,102.5375,1607533186363.2,1,1,11,12.206159947385421,2.1972245773362196,2.3978952727983707,102.5375
2001-06-25 23:18:53.720,South (30–35N) | West (130–138E),6,7,4.8,158.01666666666665,1662792635286.2673,1,0,0,12.220838092294855,1.9459101490553132,2.0794415416798357,158.01666666666665
2001-07-25 23:18:53.720,Central (35–40N) | East (138–146E),10,9,4.9,65.03999999999999,3244286850169.18,1,1,1,12.511119246259987,2.3978952727983707,2.302585092994046,65.03999999999999
2001-07-25 23:18:53.720,Central (35–40N) | West (130–138E),0,3,0.0,,0.0,0,0,0,0.0,0.0,1.3862943611198906,86.05303030303031
2001-07-25 23:18:53.720,North (40–45N) | East (138–146E),5,5,5.1,119.08,3432272522765.424,1,0,0,12.535581763569098,1.791759469228055,1.791759469228055,119.08
2001-07-25 23:18:53.720,North (40–45N) | West (130–138E),1,0,3.8,562.8,31622776601.683792,0,0,0,10.500000000013733,0.6931471805599453,0.0,562.8
2001-07-25 23:18:53.720,South (30–35N) | East (138–146E),49,8,5.9,39.74081632653061,147220031375946.28,1,0,0,14.167966905953692,3.912023005428146,2.1972245773362196,39.74081632653061
2001-07-25 23:18:53.720,South (30–35N) | West (130–138E),8,6,4.6,317.4875,1482578190800.8909,1,0,0,12.17101760722235,2.1972245773362196,1.9459101490553132,317.4875
2001-08-24 23:18:53.720,Central (35–40N) | East (138–146E),5,10,5.1,68.03999999999999,4535063204693.37,1,1,2,12.656583344154376,1.791759469228055,2.3978952727983707,68.03999999999999
2001-08-24 23:18:53.720,Central (35–40N) | West (130–138E),2,0,4.2,343.3,188988275627.43655,0,0,0,11.276434862438785,1.0986122886681098,0.0,343.3
2001-08-24 23:18:53.720,North (40–45N) | East (138–146E),8,5,6.4,63.825,256687606055497.75,1,0,0,14.409404899635014,2.1972245773362196,1.791759469228055,63.825
2001-08-24 23:18:53.720,North (40–45N) | West (130–138E),0,1,0.0,,0.0,0,0,0,0.0,0.0,0.6931471805599453,86.05303030303031
2001-08-24 23:18:53.720,South (30–35N) | East (138–146E),5,49,4.8,96.84,2013347260650.4617,1,0,0,12.303918688141447,1.791759469228055,3.912023005428146,96.84
2001-08-24 23:18:53.720,South (30–35N) | West (130–138E),3,8,4.6,75.36666666666667,1033828563864.7399,1,1,1,12.014448527210565,1.3862943611198906,2.1972245773362196,75.36666666666667
2001-09-23 23:18:53.720,Central (35–40N) | East (138–146E),9,5,5.3,55.25555555555555,11162217296499.258,1,1,1,13.047750472736494,2.302585092994046,1.791759469228055,55.25555555555555
2001-09-23 23:18:53.720,Central (35–40N) | West (130–138E),2,2,4.9,41.3,1428386476547.3665,1,0,0,12.15484572979558,1.0986122886681098,1.0986122886681098,41.3
2001-09-23 23:18:53.720,North (40–45N) | East (138–146E),6,8,5.4,174.76666666666665,8786569809716.979,1,0,0,12.943819363872622,1.9459101490553132,2.1972245773362196,174.76666666666665
2001-09-23 23:18:53.720,North (40–45N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2001-09-23 23:18:53.720,South (30–35N) | East (138–146E),4,5,4.7,155.275,1711748571134.335,1,1,2,12.233439974016617,1.6094379124341003,1.791759469228055,155.275
2001-09-23 23:18:53.720,South (30–35N) | West (130–138E),12,3,5.0,67.825,4803689560889.274,1,0,0,12.68157493329609,2.5649493574615367,1.3862943611198906,67.825
2001-10-23 23:18:53.720,Central (35–40N) | East (138–146E),9,9,5.6,64.01111111111112,18071078599462.277,1,0,0,13.256984074852872,2.302585092994046,2.302585092994046,64.01111111111112
2001-10-23 23:18:53.720,Central (35–40N) | West (130–138E),0,2,0.0,,0.0,0,0,0,0.0,0.0,1.0986122886681098,86.05303030303031
2001-10-23 23:18:53.720,North (40–45N) | East (138–146E),2,6,4.7,57.75,1209133018011.4116,1,1,1,12.082474080687946,1.0986122886681098,1.9459101490553132,57.75
2001-10-23 23:18:53.720,North (40–45N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2001-10-23 23:18:53.720,South (30–35N) | East (138–146E),11,4,5.9,81.8,50792903542579.78,1,1,1,13.705803039693693,2.4849066497880004,1.6094379124341003,81.8
2001-10-23 23:18:53.720,South (30–35N) | West (130–138E),6,12,4.7,133.71666666666667,1280097450339.7324,1,0,0,12.107243032565261,1.9459101490553132,2.5649493574615367,133.71666666666667
2001-11-22 23:18:53.720,Central (35–40N) | East (138–146E),6,9,4.9,68.18333333333334,2948743394789.4116,1,1,2,12.469636981071512,1.9459101490553132,2.302585092994046,68.18333333333334
2001-11-22 23:18:53.720,Central (35–40N) | West (130–138E),2,0,4.1,201.25,152220828261.39383,0,0,0,11.18247408069044,1.0986122886681098,0.0,201.25
2001-11-22 23:18:53.720,North (40–45N) | East (138–146E),8,2,5.3,84.275,12919803929493.258,1,0,0,13.111255922870765,2.1972245773362196,1.0986122886681098,84.275
2001-11-22 23:18:53.720,North (40–45N) | West (130–138E),0,0,0.0,,0.0,0,0,0,0.0,0.0,0.0,86.05303030303031
2001-11-22 23:18:53.720,South (30–35N) | East (138–146E),6,11,5.0,109.96666666666665,4516179178278.089,1,1,1,12.65477116411967,1.9459101490553132,2.4849066497880004,109.96666666666665
2001-11-22 23:18:53.720,South (30–35N) | West (130–138E),5,6,5.3,182.12,6646239853094.485,1,0,0,12.822576010279466,1.791759469228055,1.9459101490553132,182.12
2001-12-22 23:18:53.720,Central (35–40N) | East (138–146E),19,6,6.5,63.26315789473684,363810987082178.7,1,0,0,14.560875810607373,2.995732273553991,1.9459101490553132,63.26315789473684
2001-12-22 23:18:53.720,Central (35–40N) | West (130–138E),1,2,4.1,395.8,89125093813.3744,0,0,0,10.950000000004872,0.6931471805599453,1.0986122886681098,395.8
2001-12-22 23:18:53.720,North (40–45N) | East (138–146E),5,8,4.9,109.58000000000001,2249068037035.02,1,0,0,12.352002593569189,1.791759469228055,2.1972245773362196,109.58000000000001
2001-12-22 23:18:53.720,North (40–45N) | West (130–138E),2,0,4.4,413.20000000000005,295857002366.0544,0,0,0,11.471081852651,1.0986122886681098,0.0,413.20000000000005
2001-12-22 23:18:53.720,South (30–35N) | East (138–146E),5,6,5.1,107.75999999999999,4696889616043.103,1,0,0,12.671810353730992,1.791759469228055,1.9459101490553132,107.75999999999999
2001-12-22 23:18:53.720,South (30–35N) | West (130–138E),7,5,5.0,264.7714285714286,3154089279291.67,1,0,0,12.498873982257116,2.0794415416798357,1.791759469228055,264.7714285714286
2002-01-21 23:18:53.720,Central (35–40N) | East (138–146E),3,19,4.6,77.0,841500970591.6041,1,1,1,11.925054621230165,1.3862943611198906,2.995732273553991,77.0
2002-01-21 23:18:53.720,Central (35–40N) | West (130–138E),2,1,4.5,135.29999999999998,709626778467.1521,1,0,0,11.851029995664595,1.0986122886681098,0.6931471805599453,135.29999999999998
2002-01-21 23:18:53.720,North (40–45N) | East (138–146E),3,5,4.7,71.46666666666667,841739237412.6108,1,0,0,11.9251775721504,1.3862943611198906,1.791759469228055,71.46666666666667
2002-01-21 23:18:53.720,North (40–45N) | West (130–138E),0,2,0.0,,0.0,0,0,0,0.0,0.0,1.0986122886681098,86.05303030303031
2002-01-21 23:18:53.720,South (30–35N) | East (138–146E),5,5,4.9,58.02,2272677515064.1006,1,0,0,12.356537815239358,1.791759469228055,1.791759469228055,58.02
2002-01-21 23:18:53.720,South (30–35N) | West (130–138E),4,7,4.7,365.77500000000003,1653071501058.3623,1,0,0,12.218291638716007,1.6094379124341003,2.0794415416798357,365.77500000000003
